country,percentage_total,percentage_deaths,percentage_vaccinated
Afghanistan,0.392,0.018,0.563
Africa,0.56,0.014,2.445
Albania,4.841,0.086,19.992
Algeria,0.437,0.011,1.653
Andorra,19.398,0.167,52.567
Angola,0.14,0.004,2.216
Anguilla,0.0,0.0,59.759
Antigua and Barbuda,1.522,0.044,32.93
Argentina,11.359,0.244,25.943
Armenia,8.019,0.16,2.884
Aruba,0.0,0.0,64.305
Asia,1.461,0.022,25.233
Australia,0.176,0.004,24.094
Austria,7.512,0.119,56.878
Azerbaijan,3.861,0.052,24.235
Bahamas,4.313,0.084,13.007
Bahrain,15.963,0.081,63.343
Bangladesh,0.888,0.015,3.839
Barbados,1.615,0.017,31.328
Belarus,4.971,0.039,12.579
Belgium,10.041,0.218,67.273
Belize,3.877,0.088,16.322
Benin,0.084,0.001,0.348
Bermuda,0.0,0.0,66.79
Bhutan,0.335,0.0,61.501
Bolivia,4.169,0.157,19.495
Bonaire Sint Eustatius and Saba,0.0,0.0,6.35
Bosnia and Herzegovina,6.373,0.296,11.001
Botswana,6.228,0.088,6.869
Brazil,9.678,0.27,25.65
British Virgin Islands,0.0,0.0,37.828
Brunei,0.404,0.001,15.064
Bulgaria,6.351,0.266,16.021
Burkina Faso,0.066,0.001,0.085
Burundi,0.091,0.0,0.0
Cambodia,0.534,0.011,47.102
Cameroon,0.311,0.005,0.272
Canada,3.91,0.071,65.622
Cape Verde,6.248,0.054,8.885
Cayman Islands,0.0,0.0,74.326
Central African Republic,0.233,0.002,0.285
Chad,0.03,0.001,0.072
Chile,8.547,0.192,69.442
China,0.007,0.0,53.987
Colombia,9.609,0.244,27.823
Comoros,0.466,0.017,7.374
Congo,0.243,0.003,1.842
Cook Islands,0.0,0.0,54.532
Costa Rica,8.65,0.104,17.659
Cote d'Ivoire,0.203,0.001,0.0
Croatia,9.007,0.202,38.455
Cuba,5.15,0.04,27.532
Curacao,0.0,0.0,52.065
Cyprus,12.537,0.054,56.781
Czechia,15.665,0.284,51.578
Democratic Republic of Congo,0.06,0.001,0.005
Denmark,5.849,0.044,69.331
Djibouti,1.184,0.016,2.109
Dominica,1.86,0.001,27.624
Dominican Republic,3.206,0.037,41.858
Ecuador,2.806,0.181,38.142
Egypt,0.28,0.016,2.109
El Salvador,1.429,0.044,34.847
Equatorial Guinea,0.645,0.009,9.958
Eritrea,0.187,0.001,0.0
Estonia,10.464,0.097,39.774
Eswatini,3.487,0.087,9.447
Ethiopia,0.257,0.004,0.0
Europe,7.288,0.155,45.456
European Union,8.057,0.169,55.56
Faeroe Islands,0.0,0.0,68.933
Falkland Islands,0.0,0.0,50.962
Fiji,4.863,0.049,23.593
Finland,2.203,0.018,46.377
France,9.917,0.168,54.542
French Polynesia,0.0,0.0,29.118
Gabon,1.153,0.007,2.383
Gambia,0.391,0.012,5.913
Georgia,12.904,0.17,7.174
Germany,4.626,0.11,58.318
Ghana,0.369,0.003,1.307
Gibraltar,0.0,0.0,116.337
Greece,5.365,0.128,53.866
Greenland,0.0,0.0,54.664
Grenada,0.197,0.001,15.249
Guatemala,2.452,0.064,4.541
Guernsey,0.0,0.0,20.31
Guinea,0.219,0.002,2.688
Guinea-Bissau,0.28,0.005,0.121
Guyana,3.094,0.076,18.705
Haiti,0.181,0.005,0.017
Honduras,3.3,0.087,9.758
Hong Kong,0.161,0.003,41.686
Hungary,8.393,0.311,56.96
Iceland,2.964,0.009,74.82
India,2.351,0.032,9.39
Indonesia,1.455,0.046,11.554
Iran,5.568,0.121,5.216
Iraq,4.537,0.05,1.23
Ireland,6.827,0.103,65.312
Isle of Man,0.0,0.0,71.28
Israel,11.444,0.079,62.914
Italy,7.417,0.213,58.288
Jamaica,2.07,0.046,4.662
Japan,1.033,0.012,40.937
Jersey,0.0,0.0,70.18
Jordan,7.738,0.101,26.892
Kazakhstan,4.319,0.062,26.603
Kenya,0.426,0.008,1.451
Kiribati,0.002,0.0,0.0
Kosovo,6.69,0.12,11.035
Kuwait,9.56,0.056,21.62
Kyrgyzstan,2.666,0.038,5.525
Laos,0.171,0.0,13.582
Latvia,7.478,0.136,38.981
Lebanon,8.676,0.117,14.925
Lesotho,0.671,0.019,1.695
Liberia,0.108,0.003,0.181
Libya,4.297,0.059,0.758
Liechtenstein,8.451,0.155,53.468
