country,population,Longitude,Latitude
Afghanistan,38928341.0,66.2385139,33.7680065
Africa,1340598113.0,17.7578122,11.5024338
Albania,2877800.0,19.9999619,41.000028
Algeria,43851043.0,2.9999825,28.0000272
Andorra,77265.0,1.5732033,42.5407167
Angola,32866268.0,17.5691241,-11.8775768
Anguilla,15002.0,-63.0750234,18.1954947
Antigua and Barbuda,97928.0,-61.9554608,17.2234721
Argentina,45195777.0,-64.9672817,-34.9964963
Armenia,2963234.0,44.6736646,40.7696272
Aruba,106766.0,-69.9609842,12.4902998
Asia,4639847425.0,89.2343748,51.2086975
Australia,25499881.0,134.755,-24.7761086
Austria,9006400.0,13.2,47.2
Azerbaijan,10139175.0,47.7872508,40.3936294
Bahamas,393248.0,-78.0000547,24.7736546
Bahrain,1701583.0,50.5344606,26.1551249
Bangladesh,164689383.0,90.2932426,24.4768783
Barbados,287371.0,-59.5250305,13.1500331
Belarus,9449321.0,27.6971358,53.4250605
Belgium,11589616.0,4.6667145,50.6402809
Belize,397621.0,-88.7600927,16.8259793
Benin,12123198.0,2.2584408,9.5293472
Bermuda,62273.0,-64.7603583,32.3018217
Bhutan,771612.0,90.5119273,27.549511
Bolivia,11673029.0,-64.9912286,-17.0568696
Bonaire Sint Eustatius and Saba,26221.0,-63.143238651638256,17.566000000000003
Bosnia and Herzegovina,3280815.0,17.5961467,44.3053476
Botswana,2351625.0,24.5928742,-23.1681782
Brazil,212559409.0,-53.2,-10.3333333
British Virgin Islands,30237.0,-64.5661642,18.4024395
Brunei,437483.0,114.5653908,4.4137155
Bulgaria,6948445.0,25.4856617,42.6073975
Burkina Faso,20903278.0,-1.6880314,12.0753083
Burundi,11890781.0,29.8870575,-3.3634357
Cambodia,16718971.0,104.869423,13.5066394
Cameroon,26545864.0,13.1535811,4.6125522
Canada,37742157.0,-107.991707,61.0666922
Cape Verde,555988.0,-24.0083947,16.0000552
Cayman Islands,65720.0,-79.9174627243246,19.703182249999998
Central African Republic,4829764.0,19.9981227,7.0323598
Chad,16425859.0,19.0156172,15.6134137
Chile,19116209.0,-71.3187697,-31.7613365
China,1439323774.0,104.999927,35.000074
Colombia,50882884.0,-72.9088133,4.099917
Comoros,869595.0,44.2832964,-12.2045176
Congo,5518092.0,23.8222636,-2.9814344
Cook Islands,17564.0,-157.9753368892878,-19.919672900000002
Costa Rica,5094114.0,-84.0739102,10.2735633
Cote d'Ivoire,26378275.0,-5.5679458,7.9897371
Croatia,4105268.0,17.0118954,45.5643442
Cuba,11326616.0,-80.8328748,23.0131338
Curacao,164100.0,-68.9640875031406,12.1845
Cyprus,888005.0,33.1451285,34.9823018
Czechia,10708982.0,15.4749544,49.8167003
Democratic Republic of Congo,89561404.0,22.457478747924338,-4.0324901
Denmark,5792203.0,10.3333283,55.670249
Djibouti,988002.0,42.8453061,11.8145966
Dominica,71991.0,-70.3028026,19.0974031
Dominican Republic,10847904.0,-70.3028026,19.0974031
Ecuador,17643060.0,-79.3666965,-1.3397668
Egypt,102334403.0,29.2675469,26.2540493
El Salvador,6486201.0,-88.9140683,13.8000382
Equatorial Guinea,1402985.0,10.5170357,1.613172
Eritrea,3546427.0,37.9999668,15.9500319
Estonia,1326539.0,24.507544106789936,58.71971295
Eswatini,1160164.0,31.3991317,-26.5624806
Ethiopia,114963583.0,38.6521203,10.2116702
Europe,748680069.0,10.0,51.0
European Union,444919060.0,23.3216264,42.6788082
Faeroe Islands,48865.0,-7.0322972,62.0448724
Falkland Islands,3483.0,-59.5500387,-51.9666424
Fiji,896444.0,179.0122737,-18.1239696
Finland,5540718.0,25.9209164,63.2467777
France,67564251.0,1.8883335,46.603354
French Polynesia,280904.0,-146.0490931059517,-16.03442485
Gabon,2225728.0,11.6899699,-0.8999695
Gambia,2416664.0,-15.4900464,13.470062
Georgia,3989175.0,-83.1137366,32.3293809
Germany,83783945.0,10.4234469,51.0834196
Ghana,31072945.0,-1.0800271,8.0300284
Gibraltar,33691.0,-5.3541295,36.140807
Greece,10423056.0,21.9877132,38.9953683
Greenland,56772.0,-42.8125967,77.6192349
Grenada,112519.0,-61.6904045,12.1360374
Guatemala,17915567.0,-89.8988087,15.6356088
Guernsey,67052.0,-2.5822348,49.4566233
Guinea,13132792.0,-10.7083587,10.7226226
Guinea-Bissau,1967998.0,-14.9000214,12.100035
Guyana,786559.0,-58.6416891,4.8417097
Haiti,11402533.0,-72.3570972,19.1399952
Honduras,9904608.0,-86.0755145,15.2572432
Hong Kong,7496988.0,114.1628131,22.2793278
Hungary,9660350.0,19.5060937,47.1817585
Iceland,341250.0,-18.1059013,64.9841821
India,1380004385.0,78.6677428,22.3511148
Indonesia,273523621.0,117.8902853,-2.4833826
Iran,83992953.0,54.5643516,32.6475314
Iraq,40222503.0,44.1749775,33.0955793
Ireland,4937796.0,-7.9794599,52.865196
Isle of Man,85032.0,-4.5591148,54.1936805
Israel,8655541.0,34.8667654,31.5313113
Italy,60461828.0,12.674297,42.6384261
Jamaica,2961161.0,-77.3947693,18.1850507
Japan,126476458.0,139.2394179,36.5748441
Jersey,101073.0,-2.1358386,49.2214561
Jordan,10203140.0,36.941628,31.1667049
Kazakhstan,18776707.0,65.2093197,47.2286086
Kenya,53771300.0,38.4313975,1.4419683
Kiribati,119446.0,175.29694553869794,-1.2394555500000002
Kosovo,1932774.0,20.9021231,42.5869578
Kuwait,4270563.0,47.4979476,29.2733964
Kyrgyzstan,6524191.0,74.724091,41.5089324
Laos,7275556.0,103.378253,20.0171109
Latvia,1886202.0,24.7537645,56.8406494
Lebanon,6825442.0,35.843409,33.8750629
Lesotho,2142252.0,28.3350193,-29.6039267
Liberia,5057677.0,-9.3658524,5.7499721
Libya,6871287.0,18.1236723,26.8234472
Liechtenstein,38137.0,9.5531527,47.1416307
Lithuania,2722291.0,23.7499997,55.3500003
Luxembourg,625976.0,6.1296751,49.8158683
Macao,649342.0,113.5514142,22.1757605
Madagascar,27691019.0,46.4416422,-18.9249604
Malawi,19129955.0,33.9301963,-13.2687204
Malaysia,32365998.0,102.2656823,4.5693754
Maldives,540542.0,73.3287853,4.7064352
Mali,20250834.0,-2.2900239,16.3700359
Malta,514564.0,14.4476911,35.8885993
Marshall Islands,59194.0,168.0002575,8.9995549
Mauritania,4649660.0,-9.2399263,20.2540382
Mauritius,1271767.0,57.5703566,-20.2759451
Mexico,128932753.0,-100.000037,22.5000485
Micronesia (country),115021.0,121.0698265,14.3113868
Moldova,4033963.0,28.5670941,47.2879608
Monaco,39244.0,7.424224092532953,43.73844905
Mongolia,3278292.0,103.8499736,46.8250388
Montenegro,628062.0,19.5180992,42.9868853
Montserrat,4999.0,-62.1916844,16.7417041
Morocco,36910558.0,-7.3362482,31.1728205
Mozambique,31255435.0,34.9144977,-19.302233
Myanmar,54409794.0,95.9999652,17.1750495
Namibia,2540916.0,17.3231107,-23.2335499
Nauru,10834.0,166.9324426,-0.5252306
Nepal,29136808.0,84.0917139,28.1083929
Netherlands,17134873.0,5.7480821,52.5001698
New Caledonia,285491.0,164.55660583077983,-20.454288599999998
New Zealand,4822233.0,172.8344077,-41.5000831
Nicaragua,6624554.0,-85.2936911,12.6090157
Niger,24206636.0,9.3238432,17.7356214
Nigeria,206139587.0,7.9999721,9.6000359
Niue,1618.0,-169.861341,-19.0536414
North America,592072204.0,-109.0,51.0000002
North Macedonia,2083380.0,21.7168387,41.6171214
Norway,5421242.0,9.0999715,60.5000209
Oceania,42677809.0,138.5156,-18.3128
Oman,5106622.0,57.0036901,21.0000287
Pakistan,220892331.0,71.247499,30.3308401
Palau,18092.0,132.9102573,5.3783537
Palestine,5101416.0,35.27386547291496,31.94696655
Panama,4314768.0,-81.1308434,8.559559
Papua New Guinea,8947027.0,144.2489081,-5.6816069
Paraguay,7132530.0,-58.1693445,-23.3165935
Peru,32971846.0,-75.0458515,-6.8699697
Philippines,109581085.0,122.7312101,12.7503486
Pitcairn,47.0,-130.101782,-25.0657719
Poland,37846605.0,19.134422,52.215933
Portugal,10196707.0,-7.8896263,40.0332629
Qatar,2881060.0,51.2295295,25.3336984
Romania,19237682.0,24.6859225,45.9852129
Russia,145934460.0,97.7453061,64.6863136
Rwanda,12952209.0,30.0644358,-1.9646631
Saint Helena,6071.0,-5.702145010209923,-15.9656162
Saint Kitts and Nevis,53192.0,-62.6725973,17.250512
Saint Lucia,183629.0,-60.975036,13.8250489
Saint Vincent and the Grenadines,110947.0,-61.2765569,12.90447
Samoa,198410.0,-172.12005,-13.7693895
San Marino,33938.0,12.458306,43.9458623
