index,location,total_cases,total_deaths,people_fully_vaccinated,population
0,Afghanistan,152448.0,7054.0,219159.0,38928341.0
1,Africa,7507801.0,189151.0,32783791.0,1340598113.0
2,Albania,139324.0,2478.0,575342.0,2877800.0
3,Algeria,191583.0,5004.0,724812.0,43851043.0
4,Andorra,14988.0,129.0,40616.0,77265.0
5,Angola,45945.0,1153.0,728311.0,32866268.0
6,Anguilla,0.0,0.0,8965.0,15002.0
7,Antigua and Barbuda,1490.0,43.0,32248.0,97928.0
8,Argentina,5133831.0,110352.0,11725229.0,45195777.0
9,Armenia,237634.0,4752.0,85454.0,2963234.0
10,Aruba,0.0,0.0,68656.0,106766.0
11,Asia,67810288.0,1000868.0,1170781489.0,4639847425.0
12,Australia,44920.0,984.0,6144014.0,25499881.0
13,Austria,676526.0,10762.0,5122676.0,9006400.0
14,Azerbaijan,391506.0,5308.0,2457233.0,10139175.0
15,Bahamas,16962.0,330.0,51150.0,393248.0
16,Bahrain,271631.0,1386.0,1077833.0,1701583.0
17,Bangladesh,1461998.0,25282.0,6322696.0,164689383.0
18,Barbados,4640.0,48.0,90027.0,287371.0
19,Belarus,469717.0,3681.0,1188636.0,9449321.0
20,Belgium,1163726.0,25320.0,7796625.0,11589616.0
21,Belize,15415.0,351.0,64901.0,397621.0
22,Benin,10183.0,119.0,42212.0,12123198.0
23,Bermuda,0.0,0.0,41592.0,62273.0
24,Bhutan,2585.0,3.0,474547.0,771612.0
25,Bolivia,486643.0,18302.0,2275700.0,11673029.0
26,Bonaire Sint Eustatius and Saba,0.0,0.0,1665.0,26221.0
27,Bosnia and Herzegovina,209073.0,9722.0,360928.0,3280815.0
28,Botswana,146461.0,2081.0,161522.0,2351625.0
29,Brazil,20570891.0,574527.0,54521380.0,212559409.0
30,British Virgin Islands,0.0,0.0,11438.0,30237.0
31,Brunei,1769.0,3.0,65904.0,437483.0
32,Bulgaria,441295.0,18475.0,1113213.0,6948445.0
33,Burkina Faso,13713.0,171.0,17696.0,20903278.0
34,Burundi,10791.0,38.0,0.0,11890781.0
35,Cambodia,89231.0,1792.0,7874938.0,16718971.0
36,Cameroon,82454.0,1338.0,72112.0,26545864.0
37,Canada,1475537.0,26758.0,24767249.0,37742157.0
38,Cape Verde,34738.0,303.0,49398.0,555988.0
39,Cayman Islands,0.0,0.0,48847.0,65720.0
40,Central African Republic,11251.0,99.0,13779.0,4829764.0
41,Chad,4985.0,174.0,11865.0,16425859.0
42,Chile,1633816.0,36650.0,13274767.0,19116209.0
43,China,94715.0,4639.0,777046000.0,1439323774.0
44,Colombia,4889537.0,124216.0,14157111.0,50882884.0
45,Comoros,4050.0,147.0,64126.0,869595.0
46,Congo,13398.0,179.0,101628.0,5518092.0
47,Cook Islands,0.0,0.0,9578.0,17564.0
48,Costa Rica,440647.0,5312.0,899571.0,5094114.0
49,Cote d'Ivoire,53645.0,395.0,0.0,26378275.0
50,Croatia,369765.0,8301.0,1578699.0,4105268.0
51,Cuba,583299.0,4544.0,3118412.0,11326616.0
52,Curacao,0.0,0.0,85438.0,164100.0
53,Cyprus,111333.0,483.0,504219.0,888005.0
54,Czechia,1677512.0,30385.0,5523522.0,10708982.0
